.I,data,.B,.C,.N,.X
2546,use grammat infer design program languag design new program languag extend exist languag design face problem deriv natur grammar languag propos interact approach grammar design problem wherein design present sampl sentenc structur input grammat infer algorithm algorithm construct grammar reason gener exampl submit design implement present restrict subclass oper preced grammar second algorithm outlin appli larger class context free grammar crespi reghizzi melkanoff lichten grammar design languag definit infer identif limit extens languag,1973-02-01 00:00:00,3.61 4.2 5.23,1978-01-24 15:20:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2547,represent contour ad region effici comput search novel comput searchabl represent three basic pictori featur contour map region coverag line structur describ represent practic storag requir provid rapid mean search larg file data associ geometr posit well attribut valu applic represent handl terrain inform illustr util algebra properti data structur make comput easi determin whether point lie within close boundari comput area contain close boundari gener close boundari repres union intersect two close boundari determin neighbor boundari point minimum distanc point merrill contour map represent region boundari represent comput search abl structur graphic data retriev graphic languag two dimension pattern comput graphic graphic display,1973-02-01 00:00:00,3.21 3.23 3.79 6.35,1978-01-24 15:30:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2548,normal deviat fourteen algorithm four hundr forti two hill davis normal distribut invers probit transform taylor seri approxim,1973-01-01 00:00:00,5.12 5.5,1978-01-24 15:39:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2549,random deviat dipol distribut g five algorithm four hundr forti one knop random number probabl densiti probabl distribut dipol distribut cauchi distribut simul mont carlo,1973-01-01 00:00:00,3.17 5.5,1978-01-24 15:42:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2550,multidimension mont carlo quadratur adapt stratifi sampl one algorithm four hundr forti gallaher mont carloquadratur stratifi sampl adapt quadratur sequenti stratif,1973-01-01 00:00:00,5.16 5.5,1978-01-24 15:44:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2551,mutual recur algol sixti use restrict compil atkinsm  algol sixti mutual recur compil restrict,1973-01-01 00:00:00,4.12 4.22,1978-01-24 15:46:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2552,note chain overflow item within direct access tabl bays hash code open hash chain inform retriev collis,1973-01-01 00:00:00,3.7 4.9,1978-01-24 16:07:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2553,practic aspect comput scienc educ discuss blount educ comput engin comput scienc curriculum system design,1973-01-01 00:00:00,1.52 6.0,1978-01-24 16:09:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2554,reduct band symmetr gener eigenvalu problem algorithm describ reduc gener eigenvalu problem ax lambda bx ordinari problem case b symmetr band matric b posit definit n order matrix bandwidth matric b partit block algorithm describ term block algorithm reduc gener problem ordinari eigenvalu problem symmetr band matrix c whose bandwidth b algorithm similar rutishaus schwartz reduct symmetr matric band form calcul c requir order mn two oper round error calcul c order sum error n step algorithm latter error larg determin condit b respect invers crawford gener eigenvalu symmetr band matric,1973-01-01 00:00:00,5.14,1978-01-24 16:26:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2555,variabl precis exponenti previou paper present effici algorithm call recomput algorithm evalu ration express within desir toler comput perform variabl precis arithmet oper recomput algorithm appli express involv variabl precis oper ten p sum ei error bind p denot oper precis ei denot error oper ith argument paper present effici variabl precis exponenti oper error bind order oper log sin co simpl seri expans handl similarli richman variabl precis exponenti function error analysi interv arithmet,1973-01-01 00:00:00,5.11,1978-01-24 16:32:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2556,adapt correct program statement method analyz statement program languag toler consider inaccuraci specif propos method involv principl present mainli confin studi area artifici intellig featur extract approxim tree match strategi improv feedback match process pilot program incorpor principl describ preliminari oper result present final section survey principl current investig james partridge adapt linguist pattern match automat par approxim match compil program statement analysi syntax analysi,1973-01-01 00:00:00,3.62 3.63 3.65,1978-01-24 16:38:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2557,time requir sequenc matrix product paper discuss multipl conform sequenc row vector column vector squar matric minimum time requir evalu product ordinari serial comput well parallel comput discuss algorithm present properli par matrix sequenc subject constraint machin organ muraoka kuck matrix express matrix multipl oper minim parallel machin time minim,1973-01-01 00:00:00,4.22 5.14,1978-01-24 16:41:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2558,protect program languag linguist mechan use protect one subprogram anoth malfunct describ function produc function variou type tag scheme consid attempt make distinguish access limit authent morris protect type environ trademark seal access key access control authent secreci,1973-01-01 00:00:00,4.2 4.3,1978-01-24 16:45:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2559,realloc hash code tabl space alloc hash code tabl alter tabl entri must rescatt new space techniqu accomplish rescatt present techniqu independ length tabl hash function use util conjunct linear realloc tabl rescatt moreov use elimin previous flag delet hash code tabl chang one hash method anoth effici techniqu discuss theoret statist give bays realloc dynam storag hash code scatter storag delet,1973-01-01 00:00:00,3.7 3.73 3.74 4.9,1978-01-24 16:50:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2560,queu model multiprogram comput two level storag system result present analysi probabilist model multiprogram comput system two level storag system sequenti depend access devic express obtain long run probabl cpu storag devic busi numer result give quantifi gain cpu util obtain multiprogram presenc type storag system shedler multiprogram comput system storag system hierarch index set,1973-01-01 00:00:00,4.32,1978-01-24 16:55:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2561,heurist approach induct infer fact retriev system heurist procedur present develop perform infer gener avail inform procedur make use similar structur impos data base use nonnumer cluster algorithm implement model fact retriev system use formal queri languag properti list data structur program experi describ wherein procedur use test data base alter delet part data purpos introduc fals data find system infer correct respons varieti condit involv incomplet inconsist data skinner infer induct infer cluster fact retriev heurist,1974-12-01 00:00:00,3.61 3.71 3.79,1978-01-13 15:40:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2562,rout problem algorithm r four hundr fifti six tesch,1974-12-01 00:00:00,,1978-01-13 15:42:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2563,merg sort algorithm r four hundr twenti six bron,1974-12-01 00:00:00,,1978-01-13 15:43:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2564,hide line plot program algorithm r four hundr twenti ellis,1974-12-01 00:00:00,,1978-01-13 15:45:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2565,gaussian pseudo random number gener algorithm four hundr eighti eight brent random number pseudo random number gaussian distribut normal distribut,1974-12-01 00:00:00,5.39 5.5,1978-01-13 15:57:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2566,exact cumul distribut kolmogorov smirnov statist small sampl algorithm four hundr eighti seven pomeranz kolmogorov smirnov test k statist good fit test,1974-12-01 00:00:00,8.1 5.5,1978-01-13 16:08:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2567,exponenti method solut system ordinari differenti equat explicit coupl singl step method numer solut initi valu problem system ordinari differenti equat present method design gener purpos natur especi effici deal stiff system differenti equat gener second order except case linear system constant coeffici linear forc term case method third order implement put routin usag biolog applic stiff frequent appear favor result compar standard fourth order ring kutta implement comput time requir method ring compar certain nonstiff problem better two order magnitud faster highli stiff system chu berman numer solut ordinari differenti equat initi valu problem stiff system,1974-12-01 00:00:00,5.17,1978-01-13 16:20:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2568,graph formul school schedul algorithm problem classic titl examin schedul problem take variou form literatur formul present terminolog classic network theori one formul give nondirect network partit node minim number subset two member subset connect anarc obviou lower limit number size largest strongli connect subgraph kirchgassn prove upper limit size plu one one logic extens previou work introduct variabl length examin w number period exam object paper gener definit largest strongli connect subgraph includ weight node present approxim algorithm usual find largest strongli connect subgraph discuss applic algorithm solut school schedul exam schedul problem salazar oakford schedul school schedul examin schedul nondirect network graph subgraph strongli connect subgraph,1974-12-01 00:00:00,3.51 3.52,1978-01-13 16:37:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2569,comput gener gamma random variat non integr shape paramet shape paramet integr gener gamma random variabl digit comput straightforward simpl method gener gamma random variat non integr shape paramet common procedur approxim gener random variabl use call probabl switch method anoth procedur exact due johnk paper present reject method exactli gener gamma random variabl greater one effici reject method show better effici johnk method paper conclud non integr follow mix procedur yield best combin accuraci effici one less one use johnk method two one less less five use reject method three greater five use probabl switch method wallace simul gamma random variabl probabl distribut random number,1974-12-01 00:00:00,5.5 8.1,1978-01-16 09:35:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2570,comparison list schedul parallel process system problem schedul two processor minim execut time program consist set partial order task studi case task execut time determinist other execut time random variabl analyz show differ algorithm suggest literatur vari significantli execut time b schedul coffman graham near optim dynam program solut case execut time random variabl present adam chandy dickson parallel process preced graph schedul list schedul optim dynam program,1974-12-01 00:00:00,4.3 4.32 4.34 4.35 5.3 5.32 5.4 5.42 8.1,1978-01-16 09:42:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2571,analyt model hasp execut task monitor hasp execut task monitor period rearrang os three hundr sixti dispatch chain give task preemptiv execut prioriti invers order cpu util histori effect keep bind task activ prevent cpu bind task lock task paper develop simpl model execut task monitor employ studi effect monitor improv system perform modifi strategi monitor control investig case task execut memori hierarchi vari speed strauss hasp os three hundr sixti dispatch schedul model perform evalu,1974-12-01 00:00:00,4.32 8.1,1978-01-16 09:51:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2572,argument moratorium construct commun inform util articl author urg prudent decentr approach question design desir computer commun inform util accept inevit desir technolog one sure feasibl intern extern propos two project perhap wait chang complementari techniqu three evalu current project supplementari techniqu four establish exist demand propos five take step involv repres group ultim user system design six care think possibl side effect man world view current propos commun inform util examin framework conclus draw societi yet posit justifi either construct inform util prototyp commun accept polici favor widespread implement press commun inform util social implic public polici,1974-12-01 00:00:00,2.1 2.3,1978-01-16 10:02:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2573,comput program art knuth,1974-12-01 00:00:00,,1978-01-16 10:04:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2574,multipl exist loop use neither go label evans goto free program control structur multipl exist loop exit statement,1974-11-01 00:00:00,4.20 4.22,1978-01-16 10:07:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2575,best match problem document retriev rijsbergen document retriev best match cluster file search match dissimilar hierarchi classif,1974-11-01 00:00:00,3.73 3.74 3.79 5.30,1978-01-16 10:09:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2576,simpl techniqu repres string fortran iv hanson string process fortran iv string represent structur program data structur,1974-11-01 00:00:00,3.70 4.0 4.19 4.9,1978-01-16 10:12:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2577,site data manag system applic field archaeolog brown werner apl plu archaeolog koster prehistor site data manag retriev system,1974-11-01 00:00:00,3.36 3.70 3.73 3.89,1978-01-16 10:15:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2578,self stabil system spite distribut control dijkstra multiprocess network self stabil synchron mutual exclus robust share error recoveri distribut control harmoni cooper self repair,1974-11-01 00:00:00,4.32,1978-01-16 10:18:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2579,regist alloc via usag count paper introduc notion usag count show usag count develop algorithm elimin redund comput describ usag count provid basi regist alloc paper compar regist alloc base usag count commonli use regist alloc techniqu present evid show usag count techniqu significantli better techniqu freiburghouse optim redund comput common subexpress regist alloc compil program languag virtual memori demand page,1974-11-01 00:00:00,4.12 4.2 4.39,1978-01-16 10:24:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2580,method compos simpl tradit music comput method describ compos music round comput method use music theori plu addit heurist fundament method set product togeth set applic rule weight rule oper product decid extent avail use sever round gener comput implement method present gener result music sound mediocr profession although usual pleas layman appear full blow music theori need round hardwar requir structur level necessari piec author tri address musician comput scientist rader artifici intellig heurist program model cognit process comput music comput composit music theori formal languag probabilist grammar,1974-11-01 00:00:00,3.44 3.65 5.23,1978-01-16 10:35:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2581,local organ parser speak input paper describ lpar local organ par system design use continu speech recogn lpar process string phonem contain ambigu error system local organ sens build local par structur reliabl word candid recogn anywher input utter local structur use island reliabl guid search highli garbl word might complet utter miller par speech recognit speech understand augment transit network local par,1974-11-01 00:00:00,3.42 3.65 3.69,1978-01-16 10:41:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2582,improv local critic work set new approach program local improv via restructur describ method particularli suit system primari memori manag accord work set strategi base concept critic work set work set contain next memori refer data method oper upon extract trace program restructur show except special case method optimum howev experiment result obtain use method restructur interact text editor file system modul oper system show substanti superior method propos literatur ferrari program restructur program segment local improv memori hierarchi virtual memori multiprogram restructur techniqu static restructur dynam restructur work set strategi critic work set,1974-11-01 00:00:00,4.32 4.39 4.43 4.49 4.9,1978-01-16 10:50:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2583,guidelin human computer inform system report stanley hous sterling human social implic manag inform system regul social behavior scienc philosophi,1974-11-01 00:00:00,1.5 2 3.3 3.4 3.5,1978-01-16 10:53:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
2584,enumer full time programm data one thousand nine hundr seventi censu depart labor area wage survey use deriv estim number full time programm employ year one thousand nine hundr sixti nine one thousand nine hundr seventi three one thousand nine hundr seventi three figur one hundr eighti zero consider less suggest earlier report recommend educ administr consid whether mani cours aim train programm justifi vocat basi gilchrist weber programm employ one thousand nine hundr seventi censu area wage survey,1974-10-01 00:00:00,1.50 2.2 2.42,1978-01-16 11:00:00,"100,5,1-123,5,1-164,5,1-1,5,1-1,5,1-1,5,1-205,5,1-210,5,1-214,5,1-1982,5,1-398,5,1-642,5,1-669,5,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-1,6,1-165,6,1-196,6,1-196,6,1-1273,6,1-1883,6,1-324,6,1-43,6,1-53,6,1-91,6,1-410,6,1-3184,6,1"
